Date,Article Sentiment,Impact Score
2016-05-15,0.134,73.0
2016-05-14,0.07,75.0
2016-05-13,0.04,74.0
2016-05-12,0.104,73.0
2016-05-11,0.095,72.0
2016-05-10,0.207,72.0
2016-05-09,0.159,71.0
2016-05-08,0.12,74.0
2016-05-07,0.18,71.0
2016-05-06,0.157,72.0
2016-05-05,0.157,73.0
2016-05-04,0.188,72.0
2016-05-03,0.179,72.0
2016-05-02,0.124,72.0
2016-05-01,0.205,72.0
2016-04-30,0.326,75.0
2016-04-29,0.187,74.0
2016-04-28,0.035,73.0
2016-04-27,0.108,73.0
2016-04-26,0.155,73.0
2016-04-25,0.159,71.0
2016-04-24,0.236,70.0
2016-04-23,0.175,71.0
2016-04-22,0.211,72.0
2016-04-21,0.166,72.0
2016-04-20,0.111,72.0
2016-04-19,0.131,72.0
2016-04-18,0.203,71.0
2016-04-17,0.104,72.0
2016-04-16,0.135,72.0
2016-04-15,0.139,76.0
2016-04-14,0.125,72.0
2016-04-13,0.137,72.0
2016-04-12,0.161,74.0
2016-04-11,0.097,71.0
2016-04-10,0.124,70.0
2016-04-09,0.193,74.0
2016-04-08,0.145,72.0
2016-04-07,0.139,67.0
2016-04-06,0.142,68.0
2016-04-05,0.145,73.0
2016-04-04,0.148,72.0
2016-04-03,0.107,72.0
2016-04-02,0.141,72.0
2016-04-01,0.161,72.0
2016-03-31,0.156,71.0
2016-03-30,0.118,72.0
2016-03-29,0.106,71.0
2016-03-28,0.221,70.0
2016-03-27,0.176,71.0
2016-03-26,0.183,72.0
2016-03-25,0.071,73.0
2016-03-24,-0.019,74.0
2016-03-23,0.084,72.0
2016-03-22,0.124,73.0
2016-03-21,0.168,72.0
2016-03-20,0.181,74.0
2016-03-19,0.087,74.0
2016-03-18,0.116,73.0
2016-03-17,0.256,74.0
2016-03-16,0.265,76.0
2016-03-15,0.203,73.0
2016-03-14,0.18,70.0
2016-03-13,0.122,71.0
2016-03-12,0.054,72.0
2016-03-11,0.133,72.0
2016-03-10,0.149,71.0
2016-03-09,0.111,73.0
2016-03-08,0.047,71.0
2016-03-07,-0.021,71.0
2016-03-06,-0.017,70.0
2016-03-05,-0.011,70.0
2016-03-04,0.081,71.0
2016-03-03,0.102,71.0
2016-03-02,0.195,71.0
2016-03-01,0.127,71.0
2016-02-29,0.15,71.0
2016-02-28,0.015,70.0
2016-02-27,0.049,70.0
2016-02-26,0.11,71.0
2016-02-25,-0.02,71.0
2016-02-24,0.154,72.0
2016-02-23,0.187,72.0
2016-02-22,0.104,72.0
2016-02-21,0.072,71.0
2016-02-20,0.062,72.0
2016-02-19,0.109,72.0
2016-02-18,0.139,71.0
2016-02-17,0.169,72.0
2016-02-16,0.192,72.0
2016-02-15,0.11,70.0
2016-02-14,0.101,71.0
2016-02-13,0.109,72.0
2016-02-12,0.091,71.0
2016-02-11,0.078,70.0
2016-02-10,0.088,72.0
2016-02-09,0.052,71.0
2016-02-08,0.093,71.0
2016-02-07,0.117,71.0
2016-02-06,0.168,71.0
2016-02-05,0.06,74.0
2016-02-04,0.086,74.0
2016-02-03,0.106,73.0
2016-02-02,0.111,72.0
2016-02-01,0.057,72.0
2016-01-31,-0.016,74.0
2016-01-30,-0.033,75.0
2016-01-29,0.057,74.0
2016-01-28,0.162,72.0
2016-01-27,0.103,71.0
2016-01-26,0.031,72.0
2016-01-25,-0.024,70.0
2016-01-24,0.15,73.0
2016-01-23,0.137,72.0
2016-01-22,-0.051,72.0
2016-01-21,0.079,73.0
2016-01-20,0.155,72.0
2016-01-19,0.128,72.0
2016-01-18,0.085,71.0
2016-01-17,0.119,71.0
2016-01-16,0.161,71.0
2016-01-15,0.213,71.0
2016-01-14,0.138,73.0
2016-01-13,0.115,72.0
2016-01-12,0.177,72.0
2016-01-11,0.186,73.0
2016-01-10,0.146,71.0
2016-01-09,0.034,72.0
2016-01-08,0.1,72.0
2016-01-07,0.11,72.0
2016-01-06,0.088,73.0
2016-01-05,0.072,72.0
2016-01-04,0.087,71.0
2016-01-03,0.051,72.0
2016-01-02,0.134,72.0
2016-01-01,0.155,74.0
2015-12-31,0.083,73.0
2015-12-30,0.172,73.0
2015-12-29,0.155,72.0
2015-12-28,0.189,71.0
2015-12-27,0.123,70.0
2015-12-26,0.132,70.0
2015-12-25,0.134,71.0
2015-12-24,0.111,71.0
2015-12-23,0.112,72.0
2015-12-22,0.139,72.0
2015-12-21,0.154,70.0
2015-12-20,0.15,70.0
2015-12-19,0.132,71.0
2015-12-18,0.126,71.0
2015-12-17,-0.069,73.0
2015-12-16,0.028,75.0
2015-12-15,0.084,59.0
2015-12-14,0.115,30.0
2015-12-13,0.121,30.0
2015-12-12,0.134,31.0
2015-12-11,0.113,31.0
2015-12-10,0.104,31.0
2015-12-09,0.107,32.0
2015-12-07,0.107,68.0
2015-12-06,0.224,71.0
2015-12-05,0.131,71.0
2015-12-04,0.114,71.0
2015-12-03,0.212,70.0
2015-12-02,0.2,71.0
2015-12-01,0.147,70.0
2015-11-30,0.083,69.0
2015-11-29,0.07,70.0
2015-11-28,0.16,69.0
2015-11-27,0.208,69.0
2015-11-26,0.144,71.0
2015-11-25,0.112,71.0
2015-11-24,0.142,70.0
2015-11-23,0.108,70.0
2015-11-22,0.149,70.0
2015-11-21,0.168,70.0
2015-11-20,0.126,70.0
2015-11-19,0.128,69.0
2015-11-18,0.147,71.0
2015-11-17,0.034,71.0
2015-11-16,0.098,71.0
2015-11-15,0.087,71.0
2015-11-14,0.097,71.0
2015-11-13,0.122,72.0
2015-11-12,0.148,71.0
2015-11-11,0.163,72.0
2015-11-10,0.147,71.0
2015-11-09,0.072,70.0
2015-11-08,0.119,71.0
2015-11-07,0.104,71.0
2015-11-06,0.136,71.0
2015-11-05,0.126,71.0
2015-11-04,0.152,71.0
2015-11-02,0.072,71.0
2015-11-01,0.036,71.0
2015-10-31,-0.025,72.0
2015-10-30,-0.024,73.0
2015-10-29,0.062,73.0
