Date,Article Sentiment,Impact Score
2016-05-10,0.084,76.0
2016-05-09,0.147,73.0
2016-05-08,0.028,73.0
2016-05-07,0.166,72.0
2016-05-06,0.076,80.0
2016-05-05,0.172,84.0
2016-05-04,-0.039,79.0
2016-05-03,0.106,84.0
2016-05-02,0.26,83.0
2016-05-01,0.261,84.0
2016-04-30,0.117,80.0
2016-04-29,0.188,77.0
2016-04-28,0.309,79.0
2016-04-27,0.199,77.0
2016-04-26,0.036,76.0
2016-04-25,0.0,100.0
2016-04-23,0.387,71.0
2016-04-22,0.407,71.0
2016-04-21,0.109,74.0
2016-04-20,0.205,75.0
2016-04-19,0.17,83.0
2016-04-18,0.143,70.0
2016-04-17,0.248,75.0
2016-04-16,0.242,74.0
2016-04-15,0.357,72.0
2016-04-14,0.279,78.0
2016-04-13,0.255,76.0
2016-04-12,0.322,71.0
2016-04-11,0.477,71.0
2016-04-10,0.41,71.0
2016-04-09,0.441,71.0
2016-04-08,0.198,75.0
2016-04-07,0.191,73.0
2016-04-06,0.092,54.0
2016-04-05,-0.024,66.0
2016-04-04,-0.032,86.0
2016-04-03,0.064,71.0
2016-04-02,0.141,72.0
2016-04-01,0.304,79.0
2016-03-31,0.239,73.0
2016-03-30,0.123,82.0
2016-03-29,0.006,77.0
2016-03-28,-0.023,73.0
2016-03-27,0.235,68.0
2016-03-26,0.091,54.0
2016-03-25,0.146,77.0
2016-03-24,0.038,71.0
2016-03-23,0.107,81.0
2016-03-22,0.358,80.0
2016-03-20,0.21,84.0
2016-03-19,0.197,75.0
2016-03-18,0.103,74.0
2016-03-17,0.019,81.0
2016-03-16,0.112,73.0
2016-03-15,0.277,73.0
2016-03-14,0.179,80.0
2016-03-13,0.041,83.0
2016-03-12,0.117,75.0
2016-03-11,0.113,81.0
2016-03-10,-0.111,82.0
2016-03-09,0.266,78.0
2016-03-08,0.202,80.0
2016-03-07,0.135,88.0
2016-03-06,-0.061,50.0
2016-03-05,0.091,71.0
2016-03-04,-0.02,71.0
2016-03-03,-0.095,56.0
2016-03-02,0.279,75.0
2016-03-01,0.28,65.0
2016-02-29,0.351,71.0
2016-02-28,0.046,78.0
2016-02-27,0.028,80.0
2016-02-26,0.036,87.0
2016-02-25,0.228,70.0
2016-02-24,0.261,75.0
2016-02-23,0.147,74.0
2016-02-22,0.145,88.0
2016-02-21,-0.034,82.0
2016-02-20,0.103,71.0
2016-02-18,0.296,84.0
2016-02-16,0.269,73.0
2016-02-15,0.303,82.0
2016-02-14,0.177,79.0
