Date,Article Sentiment,Impact Score
2016-05-19,0.0,71.0
2016-05-18,0.015,71.0
2016-05-17,0.013,71.0
2016-05-16,-0.073,70.0
2016-05-15,-0.027,70.0
2016-05-14,-0.115,71.0
2016-05-13,-0.058,71.0
2016-05-12,-0.094,70.0
2016-05-11,-0.117,71.0
2016-05-10,0.109,71.0
2016-05-09,0.028,71.0
2016-05-08,-0.005,70.0
2016-05-07,-0.038,70.0
2016-05-06,0.03,71.0
2016-05-05,-0.03,73.0
2016-05-04,0.089,72.0
2016-05-03,0.029,72.0
2016-05-02,-0.006,72.0
2016-05-01,0.003,72.0
2016-04-30,0.117,72.0
2016-04-29,0.198,74.0
2016-04-28,0.125,73.0
2016-04-27,0.044,71.0
2016-04-26,0.09,72.0
2016-04-25,0.109,73.0
2016-04-24,-0.032,72.0
2016-04-23,0.006,72.0
2016-04-22,-0.001,72.0
2016-04-21,0.046,72.0
2016-04-20,0.07,72.0
2016-04-19,0.166,72.0
2016-04-18,0.172,71.0
2016-04-17,0.044,71.0
2016-04-16,0.047,71.0
2016-04-15,0.073,71.0
2016-04-14,0.064,71.0
2016-04-13,0.004,71.0
2016-04-12,-0.039,71.0
2016-04-11,0.131,71.0
2016-04-10,0.07,72.0
2016-04-09,0.055,72.0
2016-04-08,0.032,71.0
2016-04-07,-0.008,70.0
2016-04-06,0.047,71.0
2016-04-05,-0.079,71.0
2016-04-04,-0.011,69.0
2016-04-03,0.033,72.0
2016-04-02,0.068,71.0
2016-04-01,-0.039,71.0
2016-03-31,0.056,71.0
2016-03-30,-0.005,71.0
2016-03-29,-0.04,71.0
2016-03-28,-0.04,71.0
2016-03-27,-0.09,71.0
2016-03-26,-0.001,71.0
2016-03-25,-0.026,73.0
2016-03-24,0.066,71.0
2016-03-23,0.0,70.0
2016-03-22,0.057,71.0
2016-03-21,0.096,71.0
2016-03-20,0.066,71.0
2016-03-19,0.027,70.0
2016-03-18,0.025,71.0
2016-03-17,-0.078,70.0
2016-03-16,0.057,72.0
2016-03-15,0.119,71.0
2016-03-14,-0.066,73.0
2016-03-13,-0.101,73.0
2016-03-12,0.021,72.0
2016-03-11,-0.037,72.0
2016-03-10,0.055,73.0
2016-03-09,0.071,72.0
2016-03-08,0.042,71.0
2016-03-07,0.012,71.0
2016-03-06,0.067,71.0
2016-03-05,0.003,71.0
2016-03-04,-0.124,72.0
2016-03-03,-0.04,73.0
2016-03-02,-0.06,71.0
2016-03-01,-0.016,71.0
2016-02-29,0.069,71.0
2016-02-28,0.017,71.0
2016-02-27,0.001,71.0
2016-02-26,0.005,71.0
2016-02-25,0.092,71.0
2016-02-24,0.092,71.0
2016-02-23,0.059,71.0
2016-02-22,-0.014,71.0
2016-02-21,-0.027,70.0
2016-02-20,0.015,70.0
2016-02-18,-0.026,72.0
2016-02-16,0.011,72.0
2016-02-15,0.135,70.0
2016-02-14,-0.102,71.0
2016-02-13,-0.165,70.0
2016-02-12,0.053,71.0
2016-02-11,0.07,71.0
2016-02-10,-0.005,71.0
2016-02-09,0.016,71.0
2016-02-08,0.094,70.0
2016-02-07,0.018,71.0
2016-02-06,0.001,70.0
2016-02-05,0.1,71.0
2016-02-04,0.14,71.0
2016-02-03,0.08,72.0
2016-02-02,-0.017,71.0
2016-02-01,0.088,73.0
2016-01-31,0.026,72.0
2016-01-30,0.037,73.0
2016-01-29,0.188,74.0
2016-01-28,0.073,72.0
2016-01-27,0.1,71.0
2016-01-26,0.097,72.0
2016-01-25,0.084,71.0
2016-01-24,0.151,74.0
2016-01-23,0.042,71.0
2016-01-22,0.09,71.0
2016-01-21,0.095,73.0
2016-01-20,0.019,71.0
2016-01-19,-0.031,71.0
2016-01-18,0.113,71.0
2016-01-17,0.153,71.0
2016-01-16,-0.013,71.0
2016-01-15,0.008,71.0
2016-01-14,0.057,70.0
2016-01-13,0.078,71.0
2016-01-12,-0.054,70.0
2016-01-11,0.067,72.0
2016-01-10,0.082,71.0
2016-01-09,0.067,71.0
2016-01-08,0.083,72.0
2016-01-07,-0.028,71.0
2016-01-06,0.024,72.0
2016-01-05,-0.01,71.0
2016-01-04,-0.006,71.0
2016-01-03,-0.112,69.0
2016-01-02,0.022,70.0
2016-01-01,0.031,71.0
2015-12-31,-0.113,70.0
2015-12-30,-0.022,69.0
2015-12-29,-0.002,70.0
2015-12-28,0.022,71.0
2015-12-27,0.051,71.0
2015-12-26,0.05,72.0
2015-12-25,0.005,72.0
2015-12-24,-0.027,71.0
2015-12-23,0.079,71.0
2015-12-22,0.019,71.0
2015-12-21,-0.076,71.0
2015-12-20,-0.027,71.0
2015-12-19,-0.128,71.0
2015-12-18,0.054,71.0
2015-12-17,0.1,71.0
2015-12-16,0.126,70.0
2015-12-15,0.018,53.0
2015-12-14,-0.035,33.0
2015-12-13,0.066,35.0
2015-12-12,0.027,34.0
2015-12-11,0.098,34.0
2015-12-10,0.035,33.0
2015-12-09,0.052,34.0
2015-12-08,0.256,38.0
2015-12-07,-0.081,67.0
2015-12-06,0.066,71.0
2015-12-05,0.037,70.0
2015-12-04,0.102,71.0
2015-12-03,0.066,69.0
2015-12-02,0.087,70.0
2015-12-01,0.057,71.0
2015-11-30,0.066,71.0
2015-11-29,0.192,71.0
2015-11-28,0.112,71.0
2015-11-27,0.001,72.0
2015-11-26,-0.02,71.0
2015-11-25,0.003,71.0
2015-11-24,0.099,70.0
2015-11-23,0.074,70.0
2015-11-22,0.1,70.0
2015-11-21,0.07,70.0
2015-11-20,0.071,71.0
2015-11-19,0.044,71.0
2015-11-18,0.025,70.0
2015-11-17,0.06,70.0
2015-11-16,-0.012,70.0
2015-11-15,0.017,70.0
2015-11-14,0.054,71.0
2015-11-13,0.129,71.0
2015-11-12,0.005,71.0
2015-11-11,0.018,71.0
2015-11-10,0.075,70.0
2015-11-09,0.05,71.0
2015-11-08,-0.042,70.0
2015-11-07,0.115,72.0
2015-11-06,0.216,73.0
2015-11-05,0.157,72.0
2015-11-04,0.02,71.0
2015-11-02,0.166,71.0
2015-11-01,-0.058,70.0
2015-10-31,0.168,71.0
2015-10-30,-0.027,71.0
2015-10-29,-0.059,71.0
2015-10-28,-0.044,70.0
2015-10-27,0.101,71.0
2015-10-26,0.233,71.0
2015-10-25,0.156,71.0
2015-10-24,0.007,73.0
2015-10-23,-0.032,71.0
2015-10-22,-0.054,71.0
2015-10-21,-0.033,71.0
2015-10-20,-0.062,71.0
2015-10-19,0.078,70.0
2015-10-18,0.095,71.0
2015-10-17,0.044,71.0
2015-10-16,0.042,71.0
2015-10-15,0.011,71.0
2015-10-14,0.055,71.0
2015-10-13,0.123,71.0
2015-10-12,0.171,71.0
2015-10-11,-0.125,73.0
2015-10-10,0.054,71.0
2015-10-09,0.165,71.0
2015-10-08,0.078,71.0
2015-10-07,-0.042,71.0
2015-10-06,0.07,71.0
2015-10-05,0.04,70.0
2015-10-04,0.016,71.0
2015-10-03,-0.012,72.0
2015-10-02,-0.007,71.0
2015-10-01,0.012,71.0
2015-09-30,0.036,70.0
2015-09-29,0.039,73.0
2015-09-28,0.032,77.0
2015-09-27,0.105,71.0
2015-09-26,-0.016,71.0
2015-09-25,0.076,71.0
2015-09-24,0.102,71.0
2015-09-23,-0.019,72.0
2015-09-22,0.096,71.0
2015-09-21,0.066,71.0
2015-09-20,-0.067,71.0
2015-09-19,-0.048,71.0
2015-09-18,-0.014,72.0
2015-09-17,0.029,71.0
2015-09-16,0.091,70.0
2015-09-15,0.022,70.0
2015-09-14,0.047,71.0
2015-09-13,-0.005,71.0
2015-09-12,0.028,71.0
2015-09-11,0.06,72.0
2015-09-10,0.108,71.0
2015-09-09,0.123,71.0
2015-09-08,0.057,72.0
2015-09-07,-0.01,70.0
