Date,Article Sentiment,Impact Score
2016-05-17,0.123,76.0
2016-05-16,0.157,75.0
2016-05-15,0.128,76.0
2016-05-14,0.154,75.0
2016-05-13,0.091,76.0
2016-05-12,0.049,78.0
2016-05-11,-0.013,76.0
2016-05-10,0.04,75.0
2016-05-09,0.016,77.0
2016-05-08,0.038,76.0
2016-05-07,0.112,76.0
2016-05-06,0.143,77.0
2016-05-05,0.082,78.0
2016-05-04,0.104,77.0
2016-05-03,0.093,78.0
2016-05-02,0.086,77.0
2016-05-01,0.029,82.0
2016-04-30,0.036,82.0
2016-04-29,0.159,77.0
2016-04-28,0.19,78.0
2016-04-27,0.071,75.0
2016-04-26,0.086,78.0
2016-04-25,0.165,77.0
2016-04-24,0.222,76.0
2016-04-23,0.189,78.0
2016-04-22,-0.007,78.0
2016-04-21,0.064,78.0
2016-04-20,0.029,76.0
2016-04-19,-0.007,77.0
2016-04-18,-0.182,78.0
2016-04-17,-0.157,78.0
2016-04-16,0.038,76.0
2016-04-15,0.111,77.0
2016-04-14,0.052,78.0
2016-04-13,-0.294,80.0
2016-04-12,0.08,77.0
2016-04-11,0.15,78.0
2016-04-10,0.055,76.0
2016-04-09,0.116,76.0
2016-04-08,0.011,78.0
2016-04-07,0.431,78.0
2016-04-06,0.112,76.0
2016-04-05,0.009,76.0
2016-04-04,-0.083,84.0
2016-04-03,0.054,76.0
2016-04-02,0.065,76.0
2016-04-01,0.028,76.0
2016-03-31,0.07,76.0
2016-03-30,0.086,77.0
2016-03-29,0.09,77.0
2016-03-28,0.161,75.0
2016-03-27,-0.013,76.0
2016-03-26,0.041,77.0
2016-03-25,0.129,78.0
2016-03-24,0.032,78.0
2016-03-23,0.078,78.0
2016-03-22,0.173,77.0
2016-03-21,0.041,76.0
2016-03-20,0.075,74.0
2016-03-19,0.037,77.0
2016-03-18,0.126,77.0
2016-03-17,0.197,78.0
2016-03-16,0.037,78.0
2016-03-15,0.076,76.0
2016-03-14,0.114,75.0
2016-03-13,0.057,76.0
2016-03-12,0.103,76.0
2016-03-11,0.07,75.0
2016-03-10,0.012,76.0
2016-03-09,0.05,76.0
2016-03-08,0.024,77.0
2016-03-07,0.127,77.0
2016-03-06,0.071,76.0
2016-03-05,-0.027,76.0
2016-03-04,-0.01,75.0
