Date,Article Sentiment,Impact Score
2016-03-23,0.287,87.0
2016-03-22,0.1,83.0
2016-03-21,0.435,75.0
2016-03-20,-0.115,100.0
2016-03-19,0.316,80.0
2016-03-18,0.503,76.0
2016-03-17,0.509,85.0
2016-03-16,0.297,66.0
2016-03-15,0.539,81.0
2016-03-14,0.393,70.0
2016-03-13,0.397,77.0
2016-03-12,0.362,87.0
2016-03-11,0.467,78.0
2016-03-10,0.371,81.0
2016-03-09,0.414,87.0
2016-03-08,0.476,88.0
2016-03-07,-0.145,85.0
2016-03-05,0.559,78.0
2016-03-04,0.536,81.0
2016-03-03,0.469,85.0
2016-03-02,0.519,86.0
2016-03-01,0.415,92.0
2016-02-28,0.428,90.0
2016-02-27,0.551,80.0
2016-02-26,0.522,87.0
2016-02-25,0.365,80.0
2016-02-24,0.458,89.0
2016-02-23,0.418,85.0
2016-02-22,0.401,76.0
2016-02-21,0.517,78.0
2016-02-20,0.337,82.0
2016-02-18,0.439,80.0
2016-02-16,0.491,87.0
2016-02-15,0.341,100.0
2016-02-14,0.454,71.0
2016-02-13,0.56,92.0
2016-02-12,0.463,75.0
2016-02-11,0.136,85.0
2016-02-10,0.5,88.0
2016-02-09,0.477,68.0
2016-02-08,0.425,89.0
2016-02-07,0.56,74.0
2016-02-06,0.507,97.0
2016-02-04,0.578,80.0
2016-02-03,0.465,82.0
2016-02-02,0.171,47.0
2016-02-01,0.242,91.0
2016-01-31,0.363,78.0
2016-01-30,0.41,79.0
2016-01-29,0.165,71.0
2016-01-28,0.196,81.0
2016-01-27,0.294,77.0
2016-01-26,0.47,85.0
2016-01-25,0.498,82.0
2016-01-24,0.0,0.0
2016-01-23,0.135,67.0
2016-01-22,0.588,79.0
2016-01-21,0.415,83.0
2016-01-20,0.322,75.0
2016-01-19,0.454,78.0
2016-01-18,0.39,81.0
2016-01-17,0.462,73.0
2016-01-16,0.301,78.0
2016-01-15,0.415,87.0
2016-01-14,0.269,85.0
2016-01-13,0.56,81.0
2016-01-12,0.329,81.0
2016-01-11,0.4,71.0
2016-01-10,0.509,70.0
2016-01-09,0.0,85.0
2016-01-08,0.469,87.0
2016-01-07,0.435,75.0
2016-01-06,0.229,76.0
2016-01-04,0.435,75.0
2016-01-03,0.205,70.0
2016-01-02,0.303,72.0
2016-01-01,0.223,75.0
2015-12-31,0.236,70.0
2015-12-30,0.03,56.0
2015-12-29,0.518,85.0
2015-12-27,0.435,75.0
2015-12-25,0.166,90.0
2015-12-24,0.28,92.0
2015-12-23,0.112,88.0
2015-12-22,0.56,87.0
2015-12-21,0.28,85.0
2015-12-19,0.197,84.0
2015-12-18,0.56,78.0
2015-12-17,0.0,85.0
2015-12-16,0.28,85.0
