Date,Open,High,Low,Close,Volume
2016-12-02,4181.22,4194.25,4176.01,4182.81,0.0
2016-12-01,4198.49,4203.11,4174.22,4181.15,0.0
2016-11-30,4207.48,4224.9,4195.73,4195.73,0.0
2016-11-29,4198.54,4217.04,4193.62,4205.99,0.0
2016-11-28,4215.58,4217.33,4196.79,4199.39,0.0
2016-11-25,4207.53,4221.03,4207.53,4221.02,0.0
2016-11-23,4192.72,4204.49,4185.01,4204.49,0.0
2016-11-22,4198.32,4204.44,4184.88,4200.95,0.0
2016-11-21,4169.27,4192.65,4169.27,4191.68,0.0
2016-11-18,4170.01,4175.75,4157.68,4160.58,0.0
2016-11-17,4153.64,4171.64,4149.9,4169.87,0.0
2016-11-16,4151.33,4154.5,4141.21,4150.21,0.0
2016-11-15,4132.57,4156.47,4129.12,4155.62,0.0
2016-11-14,4126.55,4137.28,4108.41,4123.81,0.0
2016-11-11,4120.37,4126.47,4100.9,4123.69,0.0
2016-11-10,4129.48,4157.52,4098.56,4129.46,0.0
2016-11-09,4060.65,4134.04,4049.16,4121.03,0.0
2016-11-08,4057.25,4089.27,4045.14,4075.61,0.0
2016-11-07,3999.41,4058.77,3999.41,4058.3,0.0
2016-11-04,3967.38,3996.48,3967.38,3970.02,0.0
2016-11-03,3995.85,4002.93,3970.05,3976.56,0.0
2016-11-02,4014.62,4018.98,3985.35,3992.76,0.0
2016-11-01,4050.74,4056.0,3992.1,4018.47,0.0
2016-10-31,4052.79,4059.34,4044.72,4045.89,0.0
2016-10-28,4057.44,4073.6,4033.03,4046.36,0.0
2016-10-27,4079.72,4085.57,4057.77,4058.75,0.0
2016-10-26,4066.08,4082.73,4055.86,4070.76,0.0
2016-10-25,4090.29,4093.56,4075.48,4077.8,0.0
2016-10-24,4087.84,4099.76,4084.83,4093.22,0.0
2016-10-21,4070.56,4076.64,4052.84,4073.85,0.0
2016-10-20,4076.4,4085.28,4059.14,4074.18,0.0
2016-10-19,4072.88,4087.39,4067.85,4079.5,0.0
2016-10-18,4067.53,4079.06,4062.16,4069.99,0.0
2016-10-17,4057.33,4062.28,4041.2,4045.07,0.0
2016-10-14,4070.02,4088.09,4057.28,4057.28,0.0
2016-10-13,4052.1,4067.15,4022.62,4056.45,0.0
2016-10-12,4066.05,4080.66,4056.73,4068.92,0.0
2016-10-11,4110.75,4111.04,4048.96,4063.92,0.0
2016-10-10,4108.9,4126.36,4108.9,4115.12,0.0
2016-10-07,4116.13,4119.26,4079.34,4096.25,0.0
2016-10-06,4104.64,4113.4,4089.61,4109.49,0.0
2016-10-05,4098.69,4115.4,4098.69,4107.4,0.0
2016-10-04,4112.65,4116.62,4075.85,4088.17,0.0
2016-10-03,4114.09,4114.24,4095.96,4108.13,0.0
2016-09-30,4098.71,4134.42,4098.71,4121.06,0.0
2016-09-29,4122.24,4129.4,4077.36,4088.47,0.0
2016-09-28,4108.74,4128.79,4089.63,4126.83,0.0
2016-09-27,4077.79,4106.41,4069.32,4104.18,0.0
2016-09-26,4101.35,4101.35,4075.78,4077.71,0.0
2016-09-23,4129.02,4129.63,4111.39,4112.69,0.0
2016-09-22,4124.55,4141.69,4124.55,4136.41,0.0
2016-09-21,4074.41,4113.39,4064.91,4109.63,0.0
2016-09-20,4076.95,4086.16,4064.09,4065.2,0.0
2016-09-19,4073.2,4091.45,4057.85,4063.94,0.0
2016-09-16,4077.87,4077.87,4048.86,4063.97,0.0
2016-09-15,4037.3,4087.01,4032.17,4079.32,0.0
2016-09-14,4041.8,4067.33,4026.7,4037.83,0.0
2016-09-13,4084.45,4084.45,4027.11,4039.92,0.0
2016-09-12,4026.98,4107.51,4023.89,4099.47,0.0
2016-09-09,4118.32,4118.32,4039.96,4039.96,0.0
2016-09-08,4144.23,4148.37,4134.22,4141.46,0.0
2016-09-07,4148.63,4153.66,4137.05,4150.51,0.0
2016-09-06,4140.87,4150.29,4128.52,4150.11,0.0
2016-09-02,4132.96,4146.93,4125.62,4137.7,0.0
2016-09-01,4121.06,4125.27,4094.03,4120.17,0.0
2016-08-31,4125.24,4125.53,4102.11,4120.29,0.0
2016-08-30,4135.65,4140.89,4118.52,4129.34,0.0
2016-08-29,4117.42,4142.63,4117.42,4136.75,0.0
2016-08-26,4126.17,4150.36,4098.29,4114.68,0.0
2016-08-25,4122.65,4133.44,4115.93,4121.09,0.0
2016-08-24,4144.96,4147.86,4118.71,4126.65,0.0
2016-08-23,4149.89,4160.49,4147.99,4148.16,0.0
2016-08-22,4137.96,4144.73,4127.32,4139.97,0.0
2016-08-19,4142.93,4144.37,4125.67,4142.23,0.0
2016-08-18,4137.92,4147.65,4135.21,4147.64,0.0
2016-08-17,4130.12,4140.03,4112.47,4138.42,0.0
2016-08-16,4145.01,4145.01,4129.66,4129.68,0.0
2016-08-15,4143.98,4158.63,4143.98,4151.69,0.0
2016-08-12,4139.04,4143.82,4130.87,4139.63,0.0
2016-08-11,4127.89,4147.74,4127.89,4142.72,0.0
2016-08-10,4136.52,4137.47,4116.08,4122.65,0.0
2016-08-09,4133.92,4144.14,4127.06,4132.96,0.0
2016-08-08,4136.63,4139.8,4125.46,4131.19,0.0
2016-08-05,4107.89,4134.56,4107.89,4134.56,0.0
2016-08-04,4097.8,4106.64,4089.41,4099.21,0.0
2016-08-03,4084.08,4097.3,4076.07,4097.3,0.0
2016-08-02,4107.69,4108.18,4065.38,4083.25,0.0
2016-08-01,4113.66,4123.37,4100.53,4109.28,0.0
2016-07-29,4105.47,4121.11,4095.36,4114.51,0.0
2016-07-28,4100.17,4113.04,4088.24,4107.75,0.0
2016-07-27,4106.92,4116.69,4086.75,4100.81,0.0
2016-07-26,4105.19,4113.84,4088.55,4105.57,0.0
2016-07-25,4114.03,4114.03,4091.77,4104.13,0.0
2016-07-22,4100.3,4116.66,4094.21,4116.5,0.0
2016-07-21,4112.47,4115.56,4087.57,4097.82,0.0
2016-07-20,4099.52,4117.55,4097.23,4112.61,0.0
2016-07-19,4094.63,4096.22,4085.58,4094.61,0.0
2016-07-18,4091.22,4103.16,4086.72,4100.4,0.0
2016-07-15,4096.9,4104.26,4079.25,4090.49,0.0
2016-07-14,4083.18,4104.11,4083.18,4094.28,0.0
2016-07-13,4075.39,4080.39,4061.05,4072.77,0.0
2016-07-12,4047.94,4077.89,4047.94,4071.85,0.0
2016-07-11,4033.2,4054.84,4033.2,4043.49,0.0
2016-07-08,3986.37,4033.1,3986.37,4029.75,0.0
2016-07-07,3973.96,3990.27,3953.15,3969.19,0.0
2016-07-06,3943.32,3974.11,3923.65,3972.26,0.0
2016-07-05,3962.02,3962.02,3935.2,3949.72,0.0
2016-07-01,3969.85,3987.54,3967.18,3976.68,0.0
2016-06-30,3919.64,3968.35,3913.67,3968.21,0.0
2016-06-29,3862.02,3919.56,3862.02,3915.1,0.0
2016-06-28,3793.44,3849.05,3793.44,3849.05,0.0
2016-06-27,3839.44,3839.44,3764.35,3781.02,0.0
2016-06-24,3976.2,3976.2,3841.77,3850.7,0.0
2016-06-23,3955.4,3994.18,3955.4,3994.18,0.0
2016-06-22,3949.58,3968.41,3939.41,3941.45,0.0
2016-06-21,3940.93,3956.94,3936.83,3947.94,0.0
2016-06-20,3922.42,3969.81,3922.42,3936.91,0.0
2016-06-17,3927.34,3927.34,3898.37,3914.15,0.0
2016-06-16,3904.95,3930.0,3874.74,3926.93,0.0
2016-06-15,3925.54,3940.72,3910.81,3914.02,0.0
2016-06-14,3923.45,3932.14,3899.89,3920.93,0.0
2016-06-13,3951.7,3963.5,3926.61,3927.73,0.0
2016-06-10,3984.17,3984.17,3947.14,3958.68,0.0
2016-06-09,3995.61,3999.36,3980.67,3995.28,0.0
2016-06-08,3989.88,4004.69,3989.88,4001.98,0.0
2016-06-07,3984.29,4001.34,3984.29,3987.96,0.0
2016-06-06,3966.55,3990.21,3966.55,3982.74,0.0
2016-06-03,3972.56,3972.56,3937.29,3963.23,0.0
2016-06-02,3960.5,3974.76,3943.3,3974.76,0.0
2016-06-01,3952.93,3966.19,3936.33,3963.1,0.0
2016-05-31,3963.93,3970.23,3942.28,3957.95,0.0
2016-05-27,3944.68,3961.67,3944.68,3961.67,0.0
2016-05-26,3946.58,3951.82,3938.37,3944.05,0.0
2016-05-25,3922.42,3952.22,3922.42,3944.33,0.0
2016-05-24,3872.61,3923.58,3872.61,3916.77,0.0
2016-05-23,3871.71,3878.0,3862.36,3863.82,0.0
2016-05-20,3852.06,3883.13,3852.06,3871.75,0.0
2016-05-19,3855.84,3855.84,3821.53,3847.97,0.0
2016-05-18,3856.13,3886.7,3837.53,3862.25,0.0
2016-05-17,3894.5,3895.45,3848.92,3860.88,0.0
2016-05-16,3858.41,3906.2,3858.41,3896.36,0.0
2016-05-13,3888.12,3896.17,3851.62,3858.17,0.0
2016-05-12,3896.62,3909.47,3870.18,3890.85,0.0
2016-05-11,3926.6,3926.6,3891.13,3891.13,0.0
2016-05-10,3885.64,3927.5,3885.64,3926.63,0.0
2016-05-09,3875.99,3888.41,3869.91,3878.14,0.0
2016-05-06,3857.53,3876.23,3841.9,3875.18,0.0
2016-05-05,3866.77,3880.46,3853.27,3862.4,0.0
2016-05-04,3879.68,3879.68,3851.94,3862.4,0.0
2016-05-03,3910.63,3910.63,3868.71,3884.63,0.0
2016-05-02,3891.68,3922.27,3889.69,3918.53,0.0
2016-04-29,3900.41,3903.16,3863.66,3888.13,0.0
2016-04-28,3936.34,3952.08,3900.26,3907.88,0.0
2016-04-27,3938.7,3952.92,3919.92,3944.02,0.0
2016-04-26,3933.73,3946.94,3926.16,3937.23,0.0
2016-04-25,3932.84,3932.84,3910.58,3929.88,0.0
2016-04-22,3936.83,3942.03,3917.5,3937.0,0.0
2016-04-21,3956.77,3959.95,3931.28,3936.8,0.0
2016-04-20,3955.6,3973.53,3945.85,3957.25,0.0
2016-04-19,3945.07,3960.09,3936.85,3954.01,0.0
2016-04-18,3912.66,3942.38,3902.99,3941.86,0.0
2016-04-15,3920.62,3920.62,3907.9,3916.17,0.0
2016-04-14,3920.23,3929.51,3911.29,3920.03,0.0
2016-04-13,3887.9,3920.33,3887.9,3918.95,0.0
2016-04-12,3845.55,3885.65,3838.06,3879.42,0.0
2016-04-11,3857.68,3881.5,3842.02,3842.17,0.0
2016-04-08,3848.85,3877.25,3841.65,3852.72,0.0
2016-04-07,3881.68,3881.68,3826.77,3841.98,0.0
2016-04-06,3848.72,3889.64,3844.22,3888.41,0.0
2016-04-05,3879.19,3879.19,3841.68,3846.59,0.0
2016-04-04,3899.28,3900.82,3879.31,3886.0,0.0
2016-04-01,3867.28,3901.95,3843.51,3897.66,0.0
2016-03-31,3880.69,3888.49,3868.86,3873.11,0.0
2016-03-30,3870.34,3896.5,3870.34,3881.01,0.0
2016-03-29,3827.59,3865.47,3813.72,3863.8,0.0
2016-03-28,3830.84,3839.82,3819.69,3829.26,0.0
2016-03-24,3820.64,3827.31,3802.03,3827.14,0.0
2016-03-23,3850.83,3850.83,3825.21,3828.58,0.0
2016-03-22,3850.99,3865.93,3835.84,3853.18,0.0
2016-03-21,3848.98,3860.31,3840.07,3855.97,0.0
2016-03-18,3836.33,3857.38,3836.33,3852.15,0.0
2016-03-17,3809.53,3845.84,3800.64,3835.26,0.0
2016-03-16,3785.7,3819.02,3777.94,3810.09,0.0
2016-03-15,3787.39,3788.64,3768.54,3788.62,0.0
2016-03-14,3794.83,3804.77,3781.38,3795.53,0.0
2016-03-11,3748.45,3800.34,3748.45,3800.07,0.0
2016-03-10,3740.37,3766.86,3699.59,3737.74,0.0
2016-03-09,3722.22,3743.35,3719.29,3736.92,0.0
2016-03-08,3750.58,3750.58,3714.13,3717.49,0.0
2016-03-07,3748.44,3767.22,3735.81,3759.05,0.0
2016-03-04,3744.25,3772.64,3730.79,3755.47,0.0
2016-03-03,3728.37,3743.56,3712.96,3743.02,0.0
2016-03-02,3711.09,3729.64,3696.45,3729.59,0.0
2016-03-01,3636.25,3713.7,3636.25,3713.7,0.0
2016-02-29,3655.03,3675.94,3626.35,3627.06,0.0
2016-02-26,3669.36,3684.39,3652.17,3656.42,0.0
2016-02-25,3625.63,3663.03,3613.59,3662.84,0.0
2016-02-24,3597.91,3625.12,3548.14,3620.87,0.0
2016-02-23,3644.29,3644.29,3601.27,3604.68,0.0
2016-02-22,3610.41,3652.15,3610.41,3649.92,0.0
2016-02-19,3595.96,3599.77,3568.67,3597.92,0.0
2016-02-18,3615.75,3620.01,3592.34,3597.49,0.0
2016-02-17,3570.68,3621.39,3561.6,3614.16,0.0
2016-02-16,3509.94,3555.47,3509.94,3555.2,0.0
2016-02-12,3437.47,3496.29,3437.47,3496.28,0.0
2016-02-11,3462.58,3462.58,3393.43,3428.99,0.0
2016-02-10,3480.85,3526.66,3468.15,3471.04,0.0
2016-02-09,3452.63,3500.1,3438.19,3470.5,0.0
2016-02-08,3509.19,3509.19,3425.31,3472.08,0.0
2016-02-05,3583.44,3583.44,3507.82,3521.6,0.0
2016-02-04,3580.64,3610.0,3559.89,3587.71,0.0
2016-02-03,3571.3,3591.46,3506.12,3581.53,0.0
2016-02-02,3622.85,3622.85,3551.77,3562.52,0.0
2016-02-01,3625.89,3644.91,3594.74,3630.46,0.0
2016-01-29,3545.4,3631.96,3545.4,3631.96,0.0
2016-01-28,3528.9,3561.96,3507.25,3544.13,0.0
2016-01-27,3560.97,3588.01,3505.18,3524.33,0.0
2016-01-26,3516.32,3568.53,3516.32,3562.81,0.0
2016-01-25,3567.76,3567.76,3511.04,3513.11,0.0
2016-01-22,3513.68,3572.41,3513.68,3568.9,0.0
2016-01-21,3483.85,3536.78,3460.51,3497.94,0.0
2016-01-20,3511.28,3511.28,3391.77,3479.75,0.0
2016-01-19,3534.11,3558.01,3489.13,3520.4,0.0
2016-01-15,3586.53,3586.53,3476.53,3518.51,0.0
2016-01-14,3539.6,3619.67,3516.14,3596.03,0.0
2016-01-13,3630.58,3649.27,3529.98,3536.92,0.0
2016-01-12,3606.77,3643.34,3581.55,3627.06,0.0
2016-01-11,3603.55,3621.34,3556.87,3598.97,0.0
2016-01-08,3640.69,3667.68,3589.46,3595.91,0.0
2016-01-07,3714.29,3714.29,3627.32,3635.29,0.0
2016-01-06,3763.55,3763.55,3702.47,3723.44,0.0
2016-01-05,3766.08,3781.27,3748.15,3771.57,0.0
2016-01-04,3811.74,3811.74,3721.04,3763.99,0.0
2015-12-31,3852.74,3856.37,3821.09,3821.6,0.0
2015-12-30,3884.04,3884.04,3855.53,3857.9,0.0
2015-12-29,3852.24,3891.51,3852.24,3885.55,0.0
2015-12-28,3846.31,3846.31,3820.94,3843.94,0.0
2015-12-24,3857.05,3864.22,3848.09,3852.31,0.0
2015-12-23,3817.18,3859.29,3817.18,3858.47,0.0
2015-12-22,3781.29,3817.86,3776.33,3810.85,0.0
2015-12-21,3756.82,3780.27,3748.71,3777.15,0.0
2015-12-18,3813.45,3813.45,3747.3,3747.56,0.0
2015-12-17,3875.01,3879.81,3815.07,3815.46,0.0
2015-12-16,3823.49,3879.76,3816.52,3873.12,0.0
2015-12-15,3784.0,3836.83,3784.0,3817.36,0.0
2015-12-14,3761.21,3779.01,3723.72,3777.22,0.0
2015-12-11,3824.27,3824.27,3752.51,3759.09,0.0
2015-12-10,3824.9,3861.73,3820.77,3832.93,0.0
2015-12-09,3849.2,3884.7,3803.23,3823.9,0.0
2015-12-08,3871.77,3872.52,3832.46,3853.48,0.0
2015-12-07,3903.23,3903.23,3859.09,3878.31,0.0
2015-12-04,3829.8,3909.31,3829.8,3905.31,0.0
2015-12-03,3884.79,3892.63,3813.25,3826.74,0.0
2015-12-02,3923.83,3928.49,3878.21,3882.38,0.0
2015-12-01,3887.86,3925.91,3887.86,3924.63,0.0
2015-11-30,3902.52,3907.82,3882.84,3882.84,0.0
2015-11-27,3898.34,3906.66,3889.59,3900.74,0.0
2015-11-25,3898.37,3905.27,3892.77,3897.57,0.0
2015-11-24,3888.86,3906.73,3862.55,3897.67,0.0
2015-11-23,3898.06,3909.61,3883.1,3892.8,0.0
2015-11-20,3885.62,3912.05,3885.62,3897.45,0.0
2015-11-19,3886.65,3892.31,3877.44,3882.06,0.0
2015-11-18,3827.35,3889.45,3827.35,3886.26,0.0
2015-11-17,3830.17,3854.45,3815.72,3824.14,0.0
2015-11-16,3770.47,3828.52,3765.58,3828.46,0.0
2015-11-13,3811.85,3811.85,3769.85,3771.59,0.0
2015-11-12,3863.36,3863.36,3813.8,3814.29,0.0
2015-11-11,3883.38,3889.94,3867.52,3867.71,0.0
2015-11-10,3871.79,3883.83,3858.22,3880.23,0.0
2015-11-09,3906.87,3906.87,3854.18,3873.37,0.0
2015-11-06,3909.86,3915.91,3882.27,3910.98,0.0
2015-11-05,3915.15,3928.38,3894.2,3911.89,0.0
2015-11-04,3930.95,3938.38,3905.61,3915.52,0.0
2015-11-03,3914.73,3940.51,3905.21,3928.05,0.0
2015-11-02,3873.94,3921.29,3873.94,3917.3,0.0
2015-10-30,3891.14,3899.13,3871.29,3871.33,0.0
2015-10-29,3888.07,3895.77,3877.42,3890.04,0.0
2015-10-28,3846.91,3891.34,3840.66,3891.34,0.0
2015-10-27,3850.77,3853.75,3832.38,3845.45,0.0
2015-10-26,3862.55,3862.55,3846.77,3855.29,0.0
2015-10-23,3831.08,3871.2,3831.08,3862.65,0.0
2015-10-22,3763.48,3825.5,3763.48,3820.49,0.0
2015-10-21,3784.95,3793.23,3754.82,3757.91,0.0
2015-10-20,3783.83,3794.94,3771.7,3779.44,0.0
2015-10-19,3781.12,3786.19,3763.63,3784.72,0.0
2015-10-16,3767.37,3784.4,3760.11,3783.64,0.0
2015-10-15,3715.45,3766.94,3715.45,3766.43,0.0
2015-10-14,3728.63,3739.61,3704.61,3711.11,0.0
2015-10-13,3749.52,3763.07,3725.03,3728.48,0.0
2015-10-12,3750.37,3755.97,3740.92,3753.73,0.0
2015-10-09,3746.8,3758.7,3735.41,3748.96,0.0
2015-10-08,3709.99,3751.82,3698.06,3746.12,0.0
2015-10-07,3688.28,3719.84,3677.3,3713.36,0.0
2015-10-06,3694.82,3703.9,3667.61,3682.33,0.0
2015-10-05,3634.75,3699.54,3634.75,3695.61,0.0
2015-10-02,3574.01,3629.04,3522.15,3629.04,0.0
2015-10-01,3569.72,3583.66,3534.63,3577.47,0.0
2015-09-30,3509.02,3571.11,3509.02,3570.17,0.0
2015-09-29,3499.06,3531.71,3480.54,3503.13,0.0
2015-09-28,3586.73,3586.73,3493.88,3498.61,0.0
2015-09-25,3598.24,3629.71,3571.48,3589.71,0.0
2015-09-24,3596.14,3600.51,3548.06,3591.37,0.0
2015-09-23,3611.81,3623.43,3591.98,3603.49,0.0
2015-09-22,3645.36,3645.36,3585.59,3610.7,0.0
2015-09-21,3644.24,3679.18,3634.88,3655.64,0.0
2015-09-18,3697.76,3697.76,3630.47,3638.99,0.0
2015-09-17,3708.27,3755.47,3692.34,3698.74,0.0
2015-09-16,3675.5,3711.25,3675.33,3707.62,0.0
2015-09-15,3632.77,3684.96,3631.32,3675.48,0.0
2015-09-14,3647.51,3647.51,3620.22,3628.87,0.0
2015-09-11,3625.72,3643.55,3603.0,3643.54,0.0
2015-09-10,3606.28,3649.1,3598.42,3626.14,0.0
2015-09-09,3661.42,3693.24,3599.19,3606.8,0.0
2015-09-08,3579.12,3659.17,3579.12,3657.32,0.0
2015-09-04,3596.95,3616.68,3548.88,3567.41,0.0
2015-09-03,3622.03,3666.81,3610.78,3622.66,0.0
2015-09-02,3578.93,3618.34,3558.21,3618.25,0.0
2015-09-01,3632.69,3657.04,3532.7,3552.65,0.0
2015-08-31,3687.75,3687.75,3649.37,3660.75,0.0
2015-08-28,3686.08,3699.85,3665.96,3691.3,0.0
2015-08-27,3605.3,3692.06,3605.3,3688.6,0.0
2015-08-26,3475.0,3604.9,3475.0,3600.73,0.0
2015-08-25,3548.97,3614.38,3464.61,3465.19,0.0
2015-08-24,3574.75,3646.11,3464.03,3512.65,0.0
